speaker = narrator
0.181428	Then
0.371496	he
0.552924	glances
1.019454	at
1.192243	the
1.321835	empty
1.749487	#buckets
2.591833	and
2.738704	realizes
3.464417	that
3.671763	they
3.835913	won't
4.069178	have
4.280844	any
4.475232	soap#berries
5.187986	to
5.317577	make
5.572441	soapberry
6.164243	#ice
6.410467	##cream
6.738766	with
