speaker = narrator
0.175485	Lily
0.750350	you
1.004500	know
1.186037	it's
1.428085	wrong
1.633826	to
1.894028	lie
2.716992	There's
2.940887	no
3.092167	one
3.237396	else
3.539956	here
4.314511	Thomas
4.713891	was
4.913580	angry
5.506599	You
5.754698	better
6.063310	clean
6.377973	this
6.620021	up
6.874172	before
7.334063	Kookim
7.672931	sees
7.927082	you
8.187284	wasted
8.671380	all
9.052606	her
9.330962	#flour
