speaker = narrator
0.148915	That
0.270755	afternoon
1.015333	Mooshum
1.340239	and
1.538793	Kookum
2.008103	decided
2.572177	to
2.721092	catch
3.036974	some
3.298704	#Salmon
3.655199	for
3.876315	dinner
4.625406	while
4.796884	Thomas
5.121790	and
5.392546	Lily
5.780629	headed
6.141636	out
6.326652	to
6.489105	pick
6.723760	#berries
